id,word,pos,gender,translation,example_de,example_en,frequency,dispersion
74,wieder,adv,,again,Lea kommt wieder zu spät.,Lea’s late again.,1530.50095457327,0.943114098344875
75,uns,pron,,"us, we","Katharina besucht Max und mich, wir freuen uns darauf.","Katharina is visiting Max and me, we are looking forward to it.",1478.65464949483,0.91466462780057
76,gut,adj,,good,Die Blumen riechen gut.,The flowers smell good.,1441.79054664438,0.93859692519171
77,bis,prep,,"until, till",Meine Mutter arbeitet bis sieben Uhr.,My mother works until seven o’clock.,1411.33330658879,0.963605755817309
77,bis,conj,,until,"Ich warte hier, bis er kommt.",I’ll wait here until he comes.,1411.33330658879,0.963605755817309
78,wissen,verb,,to know,Max weiß viel und ist gut in der Schule.,Max knows a lot and is good at school.,1358.50133031113,0.916710470585838
79,sehen,verb,,to see,"Seit er die neue Brille hat, kann er besser sehen.","Since he got the new glasses, he can see better.",1358.30419607129,0.932617627168081
80,einer,pron,,(some)one,Dieses Problem ist nur eines von vielen.,This problem is only one of many.,1328.48764229519,0.955910080872484
81,sehr,adv,,very,Sie ist eine sehr gute Ärztin.,She’s a very good doctor.,1307.83783067174,0.913939113905231
82,Mal,noun,das,"time, mark",Maria hat ein dunkles Mal auf ihrer Haut.,Maria has a dark mark on her skin.,1288.1736902475,0.864058607333295
82,Mal,conj,,times,Ein mal eins ist eins.,One times one equals one.,1288.1736902475,0.864058607333295
82,Mal,part,,,Meine Freundin Veronika hat mal im Ausland gearbeitet.,My friend Veronika once worked abroad.,1288.1736902475,0.864058607333295
83,lassen,verb,,"to let, allow, have done",Lass mich gehen!,Let me go!,1256.58292831282,0.96398012280464
84,neu,adj,,new,"Ich habe eine neue Tasche, weil die alte kaputt ist.",I got a new bag because the old one’s broken.,1213.21339554759,0.942132654393388
85,stehen,verb,,to stand,Die Fahrräder stehen im Keller.,The bicycles stand in the cellar.,1187.19167588844,0.953336903884843
86,unser,pron,,our,Unser Verein hat das Spiel verloren.,Our club lost the game.,1171.0266682214,0.898939563471416
87,"jede (r, s)",pron,,every,Wir fahren jeden Sommer in den Urlaub.,We go on vacation every summer.,1162.50061234823,0.96914746429124
88,weil,conj,,because,"Frederiks Mutter steht früh auf, weil sie um sechs Uhr arbeiten muss.",Frederik’s mother gets up early because she has to work at six o’clock.,1157.86795771195,0.933161866147258
89,unter,prep,,under,Unter der Brücke fließt ein Fluss.,Under the bridge a river flows.,1133.62044621138,0.97116677733196
90,Mensch,noun,der,human being,Es gibt über sieben Milliarden Menschen auf der Welt.,There are over seven billion human beings in the world.,1093.5529119635,0.928551717276978
91,ihm,pron,,him,Tom zieht zu Anna und sie gibt ihm die Schlüssel zu ihrer Wohnung.,Tom moves in with Anna and she gives him the keys to her apartment.,1083.89333421124,0.893099727526526
92,ihn,pron,,him,Ich treffe ihn immer am Donnerstag in der Universität.,I always meet him on Thursday at the university.,1078.66927685542,0.89738719518441
93,denn,conj,,because,"Heute sind alle Geschäfte geschlossen, denn es ist Sonntag.",Today all shops are closed because it is Sunday. part anyway • Was sagt denn deine Mutter dazu? – What does your mother say about that anyway?,1055.21030231423,0.926592565403401
94,Beispiel,noun,das,example,Das Beispiel passt nicht gut zu diesem Argument.,The example does not fit this argument well.,1027.41437449651,0.902441456358117
95,"erste (r, s)",adj,,first,Jonah feiert heute seinen ersten Geburtstag.,Jonah celebrates his first birthday today.,1025.29518141821,0.961540976125913
96,Zeit,noun,die,time,Jannik braucht viel Zeit für seine Aufgabe.,Jannik needs a lot of time for his task.,967.288431344699,0.952768817550733
97,lang,adj,,long,Mit ihren langen Beinen rennt sie schneller als Max.,With her long legs she runs faster than Max.,929.931492894641,0.953243081418035
97,lang,adv,,for a long time,Jeden Tag warten sie lange auf den Bus.,Every day they wait a long time for the bus.,929.931492894641,0.953243081418035
98,leben,verb,,to live,Frauen leben länger als Männer.,Women live longer than men.,927.565882016537,0.941043891921357
99,Frau,noun,die,"woman, wife, Mrs.",Frauen sollten den gleichen Lohn bekommen wie Männer.,Women should be paid the same as men.,926.087375217722,0.917261060941017
100,etwas,pron,,"something, some, a little",Jeder macht die Welt etwas besser.,Everybody makes the world a little better.,919.187676823253,0.930477172520158
101,"selbst, selber",pron,,-self,"Es ist wichtig, sich selbst zu lieben.",It is important to love yourself.,905.04329511459,0.955155094889989
101,"selbst, selber",part,,even,"Selbst wenn es regnet, spielen sie im Garten.","Even when it rains, they play in the garden.",905.04329511459,0.955155094889989
102,wenig,adj,,few,"Es gibt nur wenige Menschen, denen er vertraut.",There are just a few people he trusts.,887.991183368257,0.962348269658071
102,wenig,pron,,"little, few",Diese Pflanze braucht nur sehr wenig Wasser.,This plant only needs very little water.,887.991183368257,0.962348269658071
103,finden,verb,,to find,Ich kann meine Tasche nicht finden.,I can’t find my bag.,885.132736890548,0.9628238328014
104,gegen,prep,,against,Ich verliere immer gegen dich.,I always lose against you.,880.598649374183,0.910626576081244
105,zwischen,prep,,between,Mein Fahrrad steht zwischen den Bäumen.,My bicycle is standing between the trees.,878.233038496079,0.954298413877516
106,drei,num,,three,"Im Deutschen gibt es drei Artikel, der, die und das.","In German there are three articles, “der”, “die”, and “das”.",870.889788061964,0.965531590521175
107,liegen,verb,,to lie,Der Hund liegt unter dem Stuhl.,The dog is lying under the chair.,861.624478789391,0.955290920118278
108,wo,pron,,where,Wo bist du geboren?,Where were you born?,848.317917600056,0.925074906525509
109,"nichts, nix",pron,,nothing,"Wenn es dunkel ist, kann man nichts sehen.","When it’s dark, you can see nothing.",837.968370008351,0.915102724438912
110,klein,adj,,"small, little",Martin hat eine kleine Schwester.,Martin has a little sister.,823.232585580163,0.955925715560189
111,Tag,noun,der,day,Eine Woche hat sieben Tage.,A week has seven days.,822.98616778036,0.941968355151611
112,deutsch,adj,,German,Nina interessiert sich für deutsche Geschichte.,Nina is interested in German history.,795.781642682165,0.910052001511723
112,deutsch,noun,das,German,Deutsch ist eine schwierige Sprache.,German is a difficult language.,795.781642682165,0.910052001511723
113,bleiben,verb,,"to stay, remain",Anna möchte für ein Jahr im Ausland bleiben.,Anna wants to stay abroad for a year.,790.705436006234,0.959805337984468
114,"nun, nu",adv,,now,Nun habt ihr euch euren Urlaub verdient.,Now you’ve earned your vacation.,786.072781369947,0.951964837051296
115,sondern,conj,,but (on the contrary),"Nicht er mag Fußball, sondern seine Schwester.","He doesn’t like soccer, but his sister does.",786.023497809986,0.95214684999404
116,heute,adv,,today,Heute ist mein Geburtstag.,Today is my birthday.,778.877381615714,0.930109246020444
117,beide,pron,,both,Er hat zwei Kinder und liebt sie beide.,He has two children and loves them both.,766.014372466024,0.966884934591719
118,hoch,adj,,"high, tall",Diese Berge sind sehr hoch.,These mountains are very high.,763.057358868394,0.955913400337143
119,damit,pron,,with it,Ich nehme den Wagen und fahre damit zur Arbeit.,I take the car and drive to work with it.,761.726702749461,0.964096968226734
120,ohne,prep,,without,Ich verlasse meine Wohnung nie ohne Schlüssel.,I never leave my apartment without a key.,761.184583589895,0.967323157226431
120,ohne,conj,,without,"Du sprichst, ohne nachzudenken.",You talk without thinking.,761.184583589895,0.967323157226431
121,Mann,noun,der,man,Sie wohnt mit einem Mann zusammen.,She lives with a man.,758.129002872344,0.920786715200132
122,"welch, -e, -er, -es",pron,,which,Welchen Film magst du lieber?,Which movie do you like better?,757.143331673134,0.926516499855671
123,tun,verb,,to do,Heute habe ich nichts zu tun.,Today I have nothing to do.,753.200646876295,0.930056312196529
124,einmal,adv,,once,Ich möchte einmal im Leben nach Paris fahren.,I want to go to Paris once in my life.,731.02304489407,0.934765801641185
125,ihnen,pron,,them,"Er gibt ihnen den Schlüssel, damit Tina und Erik in seiner Wohnung schlafen können.",He gives them the key so that Tina and Erik can sleep in his apartment.,720.032811022879,0.928874524882094
125,ihnen,pron,,you,Kann ich Ihnen etwas zu trinken anbieten?,Can I offer you something to drink?,720.032811022879,0.928874524882094
126,heißen,verb,,to be called,Sein Freund heißt Markus.,His friend is called Markus.,717.667200144775,0.960981141543069
127,ob,conj,,"whether, if","Ich kann mich nicht entscheiden, ob ich Bier oder Wein nehme.",I can’t decide if I’ll have beer or wine.,713.034545508488,0.959313008026385
128,denken,verb,,to think,Ich denke gerade an meinen letzten Urlaub.,I’m thinking about my last vacation.,706.2826977939,0.908065457022327
129,dabei,pron,,"with it, there",Lisa ist auch dabei.,Lisa will be there too.,694.602494083262,0.971887752713601
130,seit,prep,,"since, for",Ihre Schwester ist seit drei Monaten im Ausland.,Her sister has been abroad for three months.,690.46267504658,0.932890727565786
131,einfach,adj,,"simple, easy",Die Prüfung war sehr einfach.,The exam was very simple.,680.408828814639,0.938932170762948
131,einfach,part,,simply,Du musst einfach nur geradeaus gehen.,You must simply walk straight ahead.,680.408828814639,0.938932170762948
132,erst,adv,,"first, only, not until",Erst solltest du deine Eltern fragen.,First you should ask your parents.,680.260978134757,0.958832462337036
132,erst,part,,,Jetzt geht es erst richtig los!,It’s just beginning!,680.260978134757,0.958832462337036
133,Kind,noun,das,child,Das Kind geht gern zur Schule.,The child likes going to school.,679.472441175389,0.918722243597067
134,Land,noun,das,"land, country, state",Welches Land würdest du gern besuchen?,Which country would you like to visit?,674.938353659023,0.909993598882259
135,stellen,verb,,"to place, set, put",Er stellt sein Fahrrad in den Garten.,He puts his bike in the garden.,652.169348957273,0.970816551499536
136,zeigen,verb,,to show,Können Sie mir den Weg zeigen?,Could you show me the way?,651.82436403755,0.959348978228786
137,natürlich,adj,,natural,Ich beobachte wilde Tiere in ihrer natürlichen Umgebung.,I observe wild animals in their natural environment.,637.877116568729,0.92093127147716
137,natürlich,adv,,"naturally, of course",Natürlich vermisse ich dich.,Of course I miss you.,637.877116568729,0.92093127147716
138,alt,adj,,old,Wie alt bist du?,How old are you?,637.236430289242,0.94381443032636
139,dort,adv,,there,Die Bibliothek ist dort drüben.,The library is over there.,633.244461932442,0.942231270638408
140,Deutschland,noun,das,Germany,Meine Familie wohnt in einer kleinen Stadt im Westen von Deutschland.,My family lives in a small town in the west of Germany.,632.948760572679,0.892527572945109
141,gleich,adj,,"same, right away, just",Die zwei Schwestern tragen das gleiche Kleid.,The two sisters are wearing the same dress.,631.568820893785,0.957885300401898
142,nehmen,verb,,to take,Ich nehme ein Wasser.,I’ll take a water.,618.114409024569,0.961192359913483
143,dürfen,verb,,to be allowed to may,Darf ich heute Abend mit Lisa ins Kino?,May I go to the movies with Lisa tonight?,610.229039430889,0.95149018174076
144,wichtig,adj,,important,Er hat eine wichtige Frage.,He has an important question.,601.801550677644,0.943375185074008
145,vielleicht,adv,,"perhaps, maybe",Vielleicht gibt es noch einen anderen Weg.,Maybe there’s another way.,601.555132877842,0.913070531047788
145,vielleicht,part,,,Du kannst vielleicht laut sein!,You can be quite loud!,601.555132877842,0.913070531047788
146,hören,verb,,to hear,Kannst du mich hören?,Can you hear me?,599.189521999738,0.925358132567862
147,Haus,noun,das,house,Meine Eltern wohnen in einem kleinen Haus.,My parents live in a small house.,594.45830024353,0.915298662456106
148,"nein, nee, nö",part,,no,"Nein, ich habe das nicht verstanden.","No, I didn’t understand that.",586.030811490285,0.817853069801723
149,wer,pron,,"who, whoever",Wer ist da?,Who is there?,583.960901971944,0.930053888849918
150,dazu,pron,,"in addition, furthermore, to that, for that",Ich koche heute und brauche dazu Eier.,I’m cooking tonight and I need eggs for that.,578.835411736052,0.960939804501838
151,eigentlich,adj,,"actual, real","Steffen ist der eigentliche Chef der Firma, aber er ist selten da.","Steffen is the real boss of the company, but he’s rarely there.",569.816520263281,0.876608401027724
151,eigentlich,adv,,actually,"Eigentlich mag ich kein Eis, aber ich esse es trotzdem.","Actually, I don’t like ice cream, but I eat it anyway.",569.816520263281,0.876608401027724
151,eigentlich,part,,,Was studiert deine Schwester eigentlich genau?,What exactly is your sister studying?,569.816520263281,0.876608401027724
152,"letzte (r, s)",adj,,last,"Das ist das letzte Auto, das ich für meinen Sohn kaufe, das nächste bezahlt er selbst.",This is the last car I’m buying for my son; the next one he’ll be paying for himself.,564.247477987744,0.952034226826547
153,fragen,verb,,to ask,Die Touristen fragen nach dem Weg.,The tourists ask for directions.,559.811957591299,0.897087891553608
154,Herr,noun,der,Mr.,Unser neuer Lehrer heißt Herr Schmidt.,Our new teacher is called Mr. Schmidt.,558.678435712208,0.818165436143158
155,halten,verb,,"to stop, hold",Er hält ein Buch in seinen Händen.,He’s holding a book in his hands.,556.460675513986,0.945422002310531
156,glauben,verb,,to believe,Sie glaubt ihm nicht.,She doesn’t believe him.,555.91855635442,0.911856393860619
157,Frage,noun,die,question,Die Studierenden stellen zu dem neu eingeführten Thema viele Fragen.,The students ask many questions about the newly introduced topic.,553.355811236474,0.94882917953506
158,gelten,verb,,to be valid,Die Karte für den Zug gilt nur heute.,The ticket for the train is only valid today.,549.758111359358,0.922564167234472
159,gerade,adj,,straight,Ich überhole nur auf einer geraden Strecke.,"I only pass other cars on a straight stretch. adv just, just now, right now • Das Geschäft schließt gerade. – The store is closing right now.",547.540351161135,0.948451743917633
160,folgen,verb,,to follow,Der Hund folgt meinem Vater.,The dog follows my father.,546.653247081846,0.907708921594327
161,sprechen,verb,,to speak,Der Student möchte mit dem Professor sprechen.,The student would like to speak to the professor.,544.534054003545,0.952854433997666
162,führen,verb,,to lead,Jakob führt uns durch das Museum.,Jakob leads us through the museum.,543.745517044177,0.9643494019438
163,bringen,verb,,"to bring, take",Der Mann bringt mir einen Kaffee an meinen Tisch.,The man brings me a coffee at my table.,536.254415930181,0.957082945232896
164,Welt,noun,die,world,Ich möchte gerne um die Welt reisen.,I would like to travel around the world.,533.001700972788,0.927884705914716
165,gar,adv,,at all,Das ist gar kein Problem.,That’s no problem at all.,532.114596893499,0.926667485598834
166,eigen,adj,,own,Jeder Mensch hat ihren eigenen Charakter.,Everyone has their own character.,528.22119565662,0.952623938918637
167,genau,adj,,exact,Die genaue Zeit ist 10:43 Uhr.,The exact time is 10:43.,519.793706903375,0.957753903511349
168,mögen,verb,,to like,Mein Bruder mag meinen Freund nicht.,My brother doesn’t like my boyfriend.,515.062485147167,0.92711597363584
169,spät,adj,,late,Es ist schon spät.,It’s getting late.,514.224664627839,0.949589485525128
169,spät,adj,,later,Ich komme später zu dir.,I’ll be coming over later.,514.224664627839,0.949589485525128
170,bereits,adv,,already,"Du musst nicht noch einkaufen gehen, ich habe es bereits erledigt.",You don’t have to go shopping; I have already done it.,513.189709868668,0.933039833031253
171,möglich,adj,,possible,Ich besuche meine Eltern so oft wie möglich.,I visit my parents as often as possible.,510.232696271038,0.95974525256416
171,möglich,adv,,"as . . . as possible, if possible",Die Aufgabe soll möglichst schnell erledigt werden.,The task should be completed as quickly as possible.,510.232696271038,0.95974525256416
172,Prozent,noun,das,percent,Für Studenten kostet das Gericht 20 Prozent weniger.,"For students, the meal costs 20 percent less.",509.39487575171,0.83990558166171
173,während,prep,,"during, while","Während man isst, soll man nicht reden.",You shouldn’t talk while you’re eating.,507.965652512855,0.9544561050951
173,während,conj,,"while, whereas","Luisa arbeitet, während er das Essen vorbereitet.",Luisa is working while he is preparing the food.,507.965652512855,0.9544561050951
174,einige,pron,,"a few, some","Für einige Probleme haben wir bereits Lösungen, für andere noch nicht.","For some problems we already have solutions, for others not yet.",501.410939038109,0.964350938274888
175,dafür,pron,,"for it, for that",Dafür musst du dich nicht entschuldigen.,You don’t have to apologize for that.,501.312371918188,0.947545248670736
176,kurz,adj,,short,"Der Film dauert nur eine Stunde, er ist sehr kurz.",The film lasts only one hour; it is very short.,498.207507640677,0.959748863645511
177,richtig,adj,,"correct, right",Alle wissen die richtige Antwort.,Everybody knows the correct answer.,495.644762522731,0.915775474519903
178,stark,adj,,strong,Herr Müller nimmt starke Schmerztabletten.,Mr. Müller takes strong pain killers.,487.857960048972,0.949781333133659
